model,quantile,tail_event_type,target_family,direction,tail_side,column_used,candidate_columns,threshold_used,n_periods,n_tail_days,model_profit_in_tail_periods,benchmark_profit_in_tail_periods,tail_regret_eur,tail_regret_share_of_total_regret,non_tail_regret_eur,data_status
RLQR,p50,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,27.797382793426515,76.0,18.0,52242.819625666685,0.0,-52242.819625666685,0.5586897169114375,-41266.7225124574,available_daily_overlap
RLQR,p50,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1889.8797250454086,74.0,17.0,25401.646733784226,0.0,-25401.646733784226,0.2716476431492215,-68107.89540433986,available_daily_overlap
RLQR,p50,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1749.020767961232,74.0,21.0,32846.76799685348,0.0,-32846.76799685348,0.3512664830326633,-60662.77414127061,available_daily_overlap
RLQR,p50,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.013593721233154905,72.0,26.0,33751.38784086063,0.0,-33751.38784086063,0.3609405742892639,-59758.154297263456,available_daily_overlap
RLQR,p50,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.011797542497631234,72.0,24.0,32982.64003724808,0.0,-32982.64003724808,0.35271951164651216,-60526.90210087601,available_daily_overlap
RLQR,p70,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p70,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p70,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,0.0,1463.0,62.0,56098.649836436,0.0,-56098.649836436,1.0,0.0,available_daily_overlap
RLQR,p70,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,0.0,1463.0,62.0,56098.649836436,0.0,-56098.649836436,1.0,0.0,available_daily_overlap
RLQR,p70,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1846.7574368316723,74.0,21.0,16748.307749461786,0.0,-16748.307749461786,0.2985509954035254,-39350.34208697421,available_daily_overlap
RLQR,p70,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1714.9864048466209,74.0,20.0,16051.89699379327,0.0,-16051.89699379327,0.28613695767357994,-40046.75284264273,available_daily_overlap
RLQR,p70,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.014215786412204874,72.0,26.0,19127.177282505356,0.0,-19127.177282505356,0.34095610746913696,-36971.472553930646,available_daily_overlap
RLQR,p70,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.012410213576439991,72.0,20.0,9682.25408508159,0.0,-9682.25408508159,0.17259335319676405,-46416.395751354416,available_daily_overlap
RLQR,p90,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p90,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
RLQR,p90,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,0.0,1463.0,62.0,66655.0131212818,0.0,-66655.0131212818,1.0,0.0,available_daily_overlap
RLQR,p90,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,0.0,1463.0,62.0,66655.0131212818,0.0,-66655.0131212818,1.0,0.0,available_daily_overlap
RLQR,p90,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1860.8649297469783,74.0,22.0,27964.133194082027,0.0,-27964.133194082027,0.41953533402206417,-38690.87992719977,available_daily_overlap
RLQR,p90,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1798.3267615064515,74.0,20.0,18745.194694209993,0.0,-18745.194694209993,0.2812270798012187,-47909.818427071805,available_daily_overlap
RLQR,p90,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.013956604927624834,72.0,25.0,18404.71626205075,0.0,-18404.71626205075,0.2761190104120532,-48250.29685923104,available_daily_overlap
RLQR,p90,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.012203812377337588,72.0,20.0,8673.578286182366,0.0,-8673.578286182366,0.1301264208049948,-57981.434835099426,available_daily_overlap
TFT,p10,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p10,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p10,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,13.881522844314576,76.0,15.0,18370.538875291473,0.0,-18370.538875291473,0.3517234437562368,-33859.52767672159,available_daily_overlap
TFT,p10,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,0.0,1463.0,62.0,52230.066552013064,0.0,-52230.066552013064,1.0,0.0,available_daily_overlap
TFT,p10,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1569.4261584228784,74.0,16.0,17648.735210451494,0.0,-17648.735210451494,0.33790374731527645,-34581.33134156157,available_daily_overlap
TFT,p10,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1552.1321142341155,74.0,16.0,27525.851565871773,0.0,-27525.851565871773,0.527011611950758,-24704.21498614129,available_daily_overlap
TFT,p10,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.004936109750903584,72.0,21.0,16389.135922835845,0.0,-16389.135922835845,0.3137873834894467,-35840.93062917722,available_daily_overlap
TFT,p10,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.004654289047222399,72.0,13.0,16319.661240481062,0.0,-16319.661240481062,0.3124572170366508,-35910.405311532,available_daily_overlap
TFT,p30,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p30,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p30,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,17.87712002182007,76.0,14.0,35448.685675791225,0.0,-35448.685675791225,0.33858423621710587,-69248.11318244308,available_daily_overlap
TFT,p30,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,0.0,1463.0,62.0,104696.79885823431,0.0,-104696.79885823431,1.0,0.0,available_daily_overlap
TFT,p30,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1934.105858534442,74.0,9.0,19801.580584490686,0.0,-19801.580584490686,0.18913262678931764,-84895.21827374362,available_daily_overlap
TFT,p30,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1699.2334465271051,74.0,11.0,18811.022731657686,0.0,-18811.022731657686,0.17967142201863237,-85885.77612657662,available_daily_overlap
TFT,p30,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.004694736341386475,72.0,20.0,30500.42901712359,0.0,-30500.42901712359,0.2913215050483347,-74196.36984111072,available_daily_overlap
TFT,p30,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.004579405077721738,72.0,13.0,23836.85954375854,0.0,-23836.85954375854,0.2276751515204879,-80859.93931447578,available_daily_overlap
TFT,p50,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p50,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p50,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,0.0,1463.0,62.0,98789.38149134135,0.0,-98789.38149134135,1.0,0.0,available_daily_overlap
TFT,p50,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,0.0,1463.0,62.0,98789.38149134135,0.0,-98789.38149134135,1.0,0.0,available_daily_overlap
TFT,p50,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1920.5459335541411,74.0,9.0,18035.820874808163,0.0,-18035.820874808163,0.18256841578048505,-80753.56061653318,available_daily_overlap
TFT,p50,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1692.3808808571337,74.0,14.0,26283.260040977104,0.0,-26283.260040977104,0.26605349324189026,-72506.12145036424,available_daily_overlap
TFT,p50,aFRR activation rate + high tail,afrr_activation_rate,pos,high,da_precommit_da_settlement_equiv_replay_act_pos_rate,realized_activation_rate_pos; realized_afrr_activation_rate_pos; afrr_activation_rate_pos; act_pos_rate; real_act_rate_pos; target_afrr_activation_rate_pos; da_precommit_da_settlement_equiv_replay_act_pos_rate,0.005228952586091497,72.0,20.0,36109.12915681115,0.0,-36109.12915681115,0.3655162995425376,-62680.2523345302,available_daily_overlap
TFT,p50,aFRR activation rate - high tail,afrr_activation_rate,neg,high,da_precommit_da_settlement_equiv_replay_act_neg_rate,realized_activation_rate_neg; realized_afrr_activation_rate_neg; afrr_activation_rate_neg; act_neg_rate; real_act_rate_neg; target_afrr_activation_rate_neg; da_precommit_da_settlement_equiv_replay_act_neg_rate,0.004579081210296416,72.0,14.0,24485.277081857486,0.0,-24485.277081857486,0.24785332909492466,-74304.10440948387,available_daily_overlap
TFT,p70,DA price high tail,da_price,none,high,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p70,DA price low tail,da_price,none,low,,realized_da_price_eur_per_mwh; da_price; price_da; target_da_price,,,,,,,,,missing_tail_column
TFT,p70,aFRR capacity price + high tail,afrr_capacity_price,pos,high,real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,realized_capacity_price_pos; realized_afrr_capacity_price_pos; afrr_capacity_price_pos; capacity_price_pos; target_afrr_capacity_price_pos; real_bcm_settlement_capacity_price_resolved_pos_eur_per_mw_h,0.0,1463.0,62.0,100385.7709921331,0.0,-100385.7709921331,1.0,0.0,available_daily_overlap
TFT,p70,aFRR capacity price - high tail,afrr_capacity_price,neg,high,real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,realized_capacity_price_neg; realized_afrr_capacity_price_neg; afrr_capacity_price_neg; capacity_price_neg; target_afrr_capacity_price_neg; real_bcm_settlement_capacity_price_resolved_neg_eur_per_mw_h,0.0,1463.0,62.0,100385.7709921331,0.0,-100385.7709921331,1.0,0.0,available_daily_overlap
TFT,p70,aFRR activation price + high tail,afrr_activation_price,pos,high,real_bem_submitted_activation_price_pos_eur_per_mwh,realized_activation_price_pos; realized_afrr_activation_price_pos; afrr_activation_price_pos; real_act_price_pos; target_afrr_activation_price_vwap_pos; real_bem_submitted_activation_price_pos_eur_per_mwh; real_bcm_true_activation_price_pos; real_bcm_p50_executed_act_pos_price_eur_mwh,1974.6342066108484,74.0,8.0,20929.305798105448,0.0,-20929.305798105448,0.20848876878921027,-79456.46519402765,available_daily_overlap
TFT,p70,aFRR activation price - high tail,afrr_activation_price,neg,high,real_bem_submitted_activation_price_neg_eur_per_mwh,realized_activation_price_neg; realized_afrr_activation_price_neg; afrr_activation_price_neg; real_act_price_neg; target_afrr_activation_price_vwap_neg; real_bem_submitted_activation_price_neg_eur_per_mwh; real_bcm_true_activation_price_neg; real_bcm_p50_executed_act_neg_price_eur_mwh,1693.165053897382,74.0,13.0,25536.286747529262,0.0,-25536.286747529262,0.254381537295066,-74849.48424460384,available_daily_overlap
